sap_id,streetlight_model,streetlight_type,streetlight_wattage,streetlight_voltage,lng,lat,location_description
SS-015619-001,COBRA,IND,85,120,-117.2524236,32.86428234,LA JOLLA SHORES DR @ RUETTE MONTE CARLO N/E
SS-015617-002,COBRA,IND,85,120,-117.2508917,32.87226729,LA JOLLA SHORES LN N/O LA JOLLA SHORES DR @ CDS
SS-005044-001,COBRA,IND,85,120,-117.2468414,32.88149265,BROOKMEAD LN E/O BLACK GOLD RD @ CDS
SS-004379-003,COBRA,IND,85,120,-117.2484759,32.8854524,BLACK GOLD RD E/O LA JOLLA FARMS RD 200' N/S
SS-004379-004,COBRA,IND,85,120,-117.247382,32.88527265,BLACK GOLD RD E/O LA JOLLA FARMS RD 680' S/S
SS-010101-002,COBRA,IND,85,120,-117.2542046,32.8635436,EL PS GRANDE N/O CM DEL COLLADO 650'
SS-013965-001,COBRA,IND,85,120,-117.2466714,32.8828851,IDLE HOUR LN E/O BLACK GOLD RD @ CDS
SS-015618-002,COBRA,IND,85,120,-117.2519722,32.86780375,AI DOWNWIND WY @ LA JOLLA SHORES DR NE
SS-004381-001,COBRA,IND,85,120,-117.2475851,32.88141215,BLACK GOLD RD N/O BROOKMEAD LN 80' W/S
SS-015540-001,COBRA,IND,85,120,-117.2485228,32.87997251,LA JOLLA FARMS RD W/O BLACK GOLD RD 530' S/S
SX-003412-001,COBRA,IND,85,120,-117.2475328,32.88299615,BLACK GOLD RD @ IDLE HOUR LN W/S
SX-003479-002,COBRA,HPS,90,120,-117.2460699,32.87176903,AZUL ST @ LA JOLLA SHORES DR W/S
SX-000003-001,COBRA,LPS,55,,-116.9906962,33.08558617,
SX-015867-001,COBRA,IND,85,120,-117.0687649,32.68209898,ALTAMONT CT @ PLUMAS ST
SS-002279-001,COBRA,IND,85,120,-117.0683263,32.68254585,ALTAMONT CT N/O PLUMAS ST 230' @ CDS
SS-021989-001,COBRA,IND,85,120,-117.0694604,32.68211328,PLUMAS ST E/O OLIVE AV 420' N
SS-002280-001,COBRA,IND,85,120,-117.0689516,32.68178925,ALTAMONT CT N/O ALTAMONT DR 310
SS-023046-001,COBRA,IND,85,120,-117.0697118,32.68116758,REO CT N/O REO DR 140' W
SX-015887-001,COBRA,IND,165,120,-117.0697726,32.68094381,REO CT @ REO DR NW
SX-015874-001,COBRA,IND,85,120,-117.0712662,32.68170519,OLIVE AV @ PLUMAS ST NW
SS-021990-001,COBRA,IND,85,120,-117.0721857,32.68145986,PLUMAS ST N/O REO DR 270' W
SX-015888-002,COBRA,IND,85,120,-117.0721796,32.68087719,PLUMAS ST @ REO DR NW
