sap_id,streetlight_model,streetlight_type,streetlight_wattage,streetlight_voltage,lng,lat,location_description
SS-011996-003,COBRA,IND,85,240,-117.2138834,32.87116733,GENESEE AV S/O L J VILLAGE DR 510' E/S
SX-003543-002,COBRA,IND,85,120,-117.2162899,32.86591677,CARGILL AV @ PULITZER PL E/S
SX-003556-004,COBRA,IND,85,240,-117.2124022,32.86418894,DECORO ST @ GENESEE AV SEE
SS-027975-006,COBRA,IND,85,120,-117.2334828,32.86671131,AI LA JOLLA VILLAGE SQ@VILLA LA JOLLA NWW
SX-003556-002,COBRA,IND,85,240,-117.2125488,32.86443483,DECORO ST @ GENESEE AV NEN
SX-003532-004,COBRA,IND,85,120,-117.2132896,32.86675508,GENESEE AV @ NOBEL DR SEE
SS-027975-002,COBRA,IND,85,120,-117.2332702,32.86615896,VILLA L J DR N/O VIA MALLORCA
SS-027975-005,COBRA,IND,85,120,-117.2331272,32.86673212,AI LA JOLLA VILLAGE SQ@VILLA LA JOLLA NEN
SS-027975-004,COBRA,IND,85,120,-117.2331502,32.86706815,VILLA LA JOLLA DR S/O NOBEL DR 180' E/S
SS-011997-001,COBRA,IND,85,240,-117.2138157,32.86830807,GENESEE AV N/O NOBEL DR 540' E/S
SX-003500-002,COBRA,IND,85,240,-117.2138468,32.86976108,GENESEE AV @ UNIVERSITY TOWNE CTR SE
SS-027975-008,COBRA,IND,85,120,-117.2334808,32.86655659,AI LA JOLLA VILLAGE SQ@VILLA LA JOLLA SWS
,COBRA,IND,85,240,-117.2138238,32.87009695,CS GENESEE AV @ ESPLANDE CT NE
SX-003547-003,COBRA,IND,85,120,-117.2339812,32.86504363,VIA MALLORCA @ VILLA L J DR SEE
SX-003547-002,COBRA,IND,85,120,-117.2342408,32.8651998,VIA MALLORCA @ VILLA L J DR NWW
,COBRA,IND,85,120,-117.2342864,32.86512321,VIA MALLORCA @ VILLA L J DR NEN
,COBRA,IND,85,120,-117.2341345,32.86488407,VIA MALLORCA @ VILLA L J DR SWS
SX-003505-001,COBRA,IND,165,240,-117.2382745,32.86904041,EVENING WY @ GILMAN DR SW
SS-022982-003,COBRA,IND,85,120,-117.2204469,32.86614476,REGENTS RD S/O NOBEL DR 670' W/S
SX-003482-001,COBRA,IND,85,240,-117.2445443,32.87150097,AZUL ST @ POOLE ST SW
SS-022222-001,COBRA,IND,85,240,-117.2445729,32.87215584,POOLE ST N/O AZUL ST 250' W/S
